"ID","BladeID","Tomato","Potato","Cheese","Bread","Carrot"
1,"GLO-8-01",1375.80,998.41,"70993.26667",2094.75,1712.00
2,"HEN-8-01",1198.80,1219.38,"87015.03333",2997.00,2223.60
3,"HNB-8-01",1014.20,795.87,"67022.5",1567.20,1819.80
4,"MAC-8-1",1288.16,952.33,"81471.6",1624.40,1609.80
5,"MAT-8-01",1675.20,1158.15,"63821.91667",2424.00,2395.20
6,"MDE-8-01",2043.80,1324.72,"69810.85",2190.33,1992.00
7,"MER-23510-8",2130.40,1268.45,"76281.46667",1735.00,1417.20
8,"MIS-8-01",2288.00,1200.32,"78058.8",1700.00,1342.60
9,"MIY-KAI-01",1288.00,927.99,"65109.55",2077.00,1870.00
10,"MIY-KOH-01",1149.66,1064.00,"77823.51667",1582.00,1883.20
11,"MOR-AOG-1",795.40,930.72,"57409.4",1629.00,701.20
12,"MSS-RES-01",1654.40,989.81,"75156.6",1843.00,1305.80
13,"SHU-CHE-01",1145.20,902.88,"46664.9",1109.50,1059.00
14,"SHU-CLS-01",1825.20,491.21,"77874.33333",1057.60,1005.20
15,"TOJ-8-01",1160.40,697.91,"69536.01667",1382.00,952.60
16,"VNX-8-01",1741.00,1126.06,"72671.66667",1200.75,1330.00
17,"VNX-MDN-01",2174.00,935.13,"80157.65",1705.60,1493.80
18,"WST-8-01",1235.60,945.71,"86701.2",1901.00,1617.40
19,"WST-AMI-01",663.20,567.75,"64504.2",1434.66,2787.00
20,"WST-CLS-01",852.00,1606.57,"66108.83333",2634.00,2130.40
21,"ZWI-SFE-8-1",1872.60,1701.74,"81548.43333",3248.00,2127.00
